Country,Index,Ticker,Price on 2025-04-01,Price on 2025-04-08,Percent Change (%)
United States,Nasdaq Composite,INDEXNASDAQ:.IXIC,17449.89,15603.26,-10.58
Germany,DAX,INDEXDB:DAX,22539.98,19789.62,-12.20
United Kingdom,FTSE 100,INDEXFTSE:UKX,8634.8,7702.08,-10.80
France,CAC 40,INDEXEURO:PX1,7876.36,6927.12,-12.05
Japan,Nikkei 225,INDEXNIKKEI:NI225,35624.48,31136.58,-12.60
Canada,S&P/TSX Composite,INDEXTSI:OSPTX,25033.28,22859.46,-8.68
Australia,S&P/ASX 200,INDEXASX:XJO,7925.2,7343.3,-7.34
Brazil,Bovespa,INDEXBVMF:BVSP,131147,125588,-4.24
India,NIFTY,NSE:NIFTY,23165.7,22161.6,-4.33
South Korea,KOSPI,INDEXKRX:KOSPI,2521.39,2328.2,-7.66
China,Shanghai Composite,INDEXSHA:000001,3348.44,3096.58,-7.52
Hong Kong,Hang Seng,INDEXHANGSENG:HSI,23206.84,19828.3,-14.56
Taiwan,TSEC 50,INDEXTPEX:TWII,17689.58,15941.79,-9.88
Netherlands,AEX,INDEXEURO:AEX,905.24,801.26,-11.49
Switzerland,SMI,INDEXSWI:SSMI,12686.62,11044.87,-12.94
Italy,FTSE MIB,INDEXFTSE:FTSEMIB,38557.38,32853.98,-14.79
Spain,IBEX 35,INDEXBME:IBEX,13297,11785.8,-11.36
Sweden,OMX Stockholm 30,INDEXOMX:OMX,2509.77,2179.39,-13.16
Belgium,BEL 20,INDEXEURO:BEL20,4365.93,3930.25,-9.98
Norway,OSEBX,INDEXOSL:OSEAX,1518.11,1390.09,-8.43
Denmark,OMX Copenhagen 20,INDEXOMX:OMXC20,2621.98,2357.74,-10.08
Finland,OMX Helsinki 25,INDEXOMX:OMXH25,4556.3,4049.72,-11.12
Portugal,PSI 20,INDEXEURO:PSI20,6950.65,6262.28,-9.90
Greece,ATHEX Composite,INDEXFTSE:ATX,3216.15,2800.62,-12.92
Poland,WIG 20,INDEXWIG:WIG,2735.15,2431.32,-11.11
Turkey,BIST 100,INDEXIST:XU100,9523.31,9407.17,-1.22
South Africa,FTSE/JSE Top 40,JTOPI,3710.66,3185.56,-14.14
Nigeria,NGX All-Share,NGXASI,35.86,32.03,-10.69
Egypt,EGX 30,EGX30,247.23,220.98,-10.61
Kenya,NSE 20,NSE20,13.92,12.51,-10.14
Russia,RTS Index,RTSI,1112.31,1011.86,-9.05
Myanmar,MYANPIX,MYANPIX,0.17,0.17,-0.06
